@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN20	numeric
@ATTRIBUTE NN21	numeric
@ATTRIBUTE NN22	numeric
@ATTRIBUTE NN23	numeric
@ATTRIBUTE NN24	numeric
@ATTRIBUTE NN25	numeric
@ATTRIBUTE class	numeric

@DATA
-0.880000000, -0.580000000, -1.000000000, -1.440000000, -1.280000000, -1.450000000, -29.120000000, -1.440000000, -1.280000000, -1.450000000, -1.440000000, -1.300000000, -1.450000000, 4.744791667
-1.840000000, -1.840000000, -1.840000000, -2.170000000, -2.240000000, -1.450000000, -28.390000000, -1.280000000, -1.000000000, -1.000000000, -1.300000000, -1.840000000, -2.170000000, 9.682291667
-0.880000000, -1.000000000, -1.450000000, -2.240000000, -1.450000000, -0.880000000, -27.910000000, -1.450000000, -1.000000000, -1.440000000, -1.450000000, -1.280000000, -2.240000000, 15.338541667
-1.450000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.280000000, -29.820000000, -1.280000000, -2.240000000, -1.840000000, -2.170000000, -2.240000000, -1.280000000, 4.364583333
-0.880000000, -1.450000000, -1.840000000, -1.840000000, -1.300000000, -1.000000000, -30.400000000, -1.440000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, 5.156250000
-1.300000000, -1.440000000, -1.450000000, -1.000000000, -1.280000000, -1.300000000, -23.310000000, -1.280000000, -1.440000000, -1.000000000, -0.580000000, -1.000000000, -0.880000000, 57.109375000
-1.280000000, -1.450000000, -2.240000000, -1.280000000, -1.000000000, -0.580000000, -26.130000000, -1.440000000, -1.280000000, -1.000000000, -1.300000000, -1.840000000, -1.840000000, 34.083333333
-1.840000000, -2.240000000, -1.840000000, -1.840000000, -2.170000000, -2.240000000, -25.140000000, -1.300000000, -1.000000000, -1.000000000, -0.880000000, -1.300000000, -2.170000000, 20.354166667
-2.240000000, -2.170000000, -1.840000000, -1.440000000, -1.450000000, -2.240000000, -30.940000000, -1.450000000, -0.880000000, -1.450000000, -1.840000000, -1.300000000, -1.280000000, 1.822916667
-1.000000000, -1.300000000, -2.170000000, -1.840000000, -1.440000000, -1.450000000, -25.400000000, -1.440000000, -1.450000000, -1.000000000, -0.880000000, -1.450000000, -1.300000000, 34.984375000
-1.280000000, -1.300000000, -1.280000000, -1.300000000, -1.840000000, -2.170000000, -29.640000000, -2.170000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, -1.280000000, 4.484375000
-1.840000000, -1.450000000, -1.000000000, -1.000000000, -1.000000000, -1.280000000, -30.020000000, -1.000000000, -1.440000000, -1.450000000, -1.000000000, -1.280000000, -1.440000000, 8.442708333
-1.000000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, -1.440000000, -23.650000000, -1.300000000, -2.170000000, -1.840000000, -1.840000000, -1.440000000, -0.580000000, 28.458333333
-2.170000000, -1.840000000, -1.300000000, -1.440000000, -1.280000000, -0.580000000, -27.300000000, -1.300000000, -1.280000000, -0.580000000, -1.440000000, -1.280000000, -0.580000000, 25.625000000
-1.300000000, -1.840000000, -1.450000000, -1.440000000, -2.170000000, -1.440000000, -29.800000000, -1.450000000, -1.000000000, -1.000000000, -1.280000000, -2.240000000, -1.840000000, 5.442708333
-1.000000000, -1.000000000, -1.000000000, -1.450000000, -1.840000000, -1.440000000, -31.550000000, -2.170000000, -2.240000000, -1.450000000, -1.280000000, -1.300000000, -1.280000000, 1.875000000
-0.580000000, -0.880000000, -1.300000000, -1.280000000, -0.580000000, -1.000000000, -23.870000000, -1.440000000, -1.450000000, -1.440000000, -1.450000000, -1.440000000, -1.840000000, 45.817708333
-0.580000000, -1.280000000, -1.840000000, -2.240000000, -1.840000000, -1.280000000, -24.070000000, -1.300000000, -1.280000000, -1.300000000, -1.000000000, -1.280000000, -1.840000000, 36.140625000
-1.440000000, -1.450000000, -1.300000000, -1.280000000, -1.300000000, -1.000000000, -25.980000000, -0.880000000, -1.300000000, -1.450000000, -1.000000000, -1.440000000, -1.450000000, 29.447916667
-1.840000000, -2.240000000, -2.170000000, -1.300000000, -0.880000000, -1.000000000, -25.510000000, -1.440000000, -1.840000000, -2.170000000, -1.840000000, -2.240000000, -1.450000000, 31.416666667
-0.880000000, -0.580000000, -1.280000000, -2.240000000, -1.450000000, -0.880000000, -23.830000000, -2.240000000, -1.450000000, -1.440000000, -2.170000000, -1.300000000, -0.880000000, 64.520833333
-0.880000000, -1.300000000, -2.170000000, -1.300000000, -1.440000000, -2.170000000, -29.020000000, -1.300000000, -2.170000000, -1.440000000, -1.000000000, -1.000000000, -1.000000000, 5.755208333
-2.170000000, -2.240000000, -1.450000000, -1.000000000, -1.440000000, -1.280000000, -29.330000000, -1.280000000, -0.580000000, -1.000000000, -1.000000000, -1.280000000, -2.240000000, 3.078125000
-1.450000000, -1.000000000, -0.880000000, -0.580000000, -1.000000000, -1.440000000, -28.090000000, -0.580000000, -1.000000000, -1.440000000, -1.280000000, -1.450000000, -1.440000000, 13.734375000
-1.300000000, -1.440000000, -1.280000000, -1.450000000, -1.440000000, -1.450000000, -28.700000000, -1.840000000, -1.440000000, -0.580000000, -1.000000000, -0.880000000, -1.300000000, 5.671875000
-1.840000000, -1.450000000, -1.440000000, -1.450000000, -1.000000000, -1.000000000, -27.020000000, -1.840000000, -1.440000000, -1.000000000, -1.300000000, -1.280000000, -1.300000000, 18.734375000
-1.280000000, -0.580000000, -1.000000000, -1.000000000, -1.440000000, -1.840000000, -30.150000000, -1.000000000, -1.000000000, -0.880000000, -0.580000000, -1.440000000, -2.170000000, 5.296875000
-1.440000000, -1.840000000, -1.450000000, -1.280000000, -1.300000000, -1.000000000, -25.280000000, -1.300000000, -1.450000000, -1.000000000, -1.440000000, -1.450000000, -1.280000000, 37.588541667
-2.170000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -0.880000000, -20.050000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, -1.280000000, -1.300000000, 274.994791667
-1.840000000, -1.840000000, -1.280000000, -1.300000000, -1.450000000, -1.000000000, -25.770000000, -1.440000000, -1.450000000, -1.000000000, -1.000000000, -0.880000000, -1.000000000, 23.067708333
-1.440000000, -1.450000000, -1.280000000, -2.240000000, -2.170000000, -1.840000000, -29.970000000, -1.000000000, -1.000000000, -1.450000000, -1.440000000, -0.580000000, -1.280000000, 2.703125000
-1.300000000, -1.000000000, -1.280000000, -1.300000000, -0.880000000, -1.450000000, -26.670000000, -1.840000000, -1.300000000, -1.280000000, -2.240000000, -1.280000000, -1.000000000, 19.854166667
-1.450000000, -1.440000000, -2.170000000, -1.840000000, -1.840000000, -1.840000000, -17.020000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, 598.005208333
-1.000000000, -1.280000000, -2.240000000, -1.280000000, -1.450000000, -1.840000000, -26.220000000, -0.580000000, -1.000000000, -1.280000000, -2.240000000, -1.450000000, -0.880000000, 22.192708333
-1.000000000, -1.300000000, -1.840000000, -1.840000000, -1.280000000, -1.000000000, -25.230000000, -1.440000000, -2.170000000, -1.840000000, -1.840000000, -1.840000000, -1.300000000, 20.645833333
-1.840000000, -1.840000000, -1.840000000, -1.440000000, -1.300000000, -1.450000000, -29.490000000, -1.450000000, -1.840000000, -2.240000000, -2.170000000, -1.300000000, -1.280000000, 4.630208333
-1.300000000, -1.450000000, -1.000000000, -1.440000000, -1.450000000, -1.280000000, -28.080000000, -1.450000000, -1.000000000, -1.000000000, -1.000000000, -1.280000000, -2.240000000, 9.291666667
-1.000000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, -0.580000000, -28.750000000, -2.240000000, -2.170000000, -2.240000000, -2.170000000, -1.840000000, -1.440000000, 8.744791667
-1.450000000, -1.440000000, -1.840000000, -2.170000000, -2.240000000, -1.280000000, -33.100000000, -2.170000000, -1.840000000, -1.840000000, -2.240000000, -1.450000000, -1.000000000, 1.223958333
-1.280000000, -1.300000000, -2.170000000, -2.240000000, -1.450000000, -1.280000000, -23.440000000, -0.880000000, -0.580000000, -1.000000000, -1.000000000, -1.280000000, -1.440000000, 46.661458333
-1.280000000, -1.000000000, -0.580000000, -1.000000000, -1.280000000, -1.840000000, -22.970000000, -1.450000000, -0.880000000, -1.450000000, -1.840000000, -1.440000000, -1.000000000, 42.453125000
-1.280000000, -0.580000000, -1.280000000, -1.840000000, -1.840000000, -2.240000000, -31.270000000, -1.450000000, -2.240000000, -2.170000000, -2.240000000, -2.170000000, -1.840000000, 2.786458333
-1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.300000000, -31.130000000, -1.440000000, -2.170000000, -1.840000000, -2.240000000, -2.170000000, -1.440000000, 4.791666667
-2.170000000, -2.240000000, -1.280000000, -0.580000000, -1.000000000, -0.880000000, -26.560000000, -0.580000000, -1.000000000, -0.880000000, -1.300000000, -1.450000000, -1.000000000, 34.192708333
-1.440000000, -1.300000000, -1.280000000, -1.300000000, -2.170000000, -1.440000000, -26.600000000, -1.280000000, -2.240000000, -2.170000000, -1.840000000, -2.240000000, -2.170000000, 13.770833333
-1.840000000, -1.840000000, -1.450000000, -1.440000000, -1.840000000, -2.170000000, -32.540000000, -1.840000000, -2.240000000, -2.170000000, -1.840000000, -1.840000000, -2.240000000, 1.401041667
-1.840000000, -2.240000000, -1.840000000, -1.450000000, -0.880000000, -1.000000000, -28.410000000, -1.000000000, -1.000000000, -1.280000000, -2.240000000, -1.450000000, -1.000000000, 13.546875000
-0.880000000, -1.300000000, -2.170000000, -2.240000000, -1.280000000, -0.580000000, -25.940000000, -2.240000000, -1.280000000, -0.580000000, -1.000000000, -0.880000000, -0.580000000, 23.296875000
-0.580000000, -1.000000000, -0.880000000, -0.580000000, -1.280000000, -2.240000000, -25.610000000, -1.450000000, -2.240000000, -1.450000000, -1.000000000, -1.000000000, -1.440000000, 23.156250000
-1.280000000, -1.300000000, -1.000000000, -1.440000000, -1.280000000, -1.000000000, -26.030000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -0.880000000, -0.580000000, 30.562500000
-0.880000000, -0.580000000, -1.440000000, -2.170000000, -2.240000000, -1.450000000, -29.320000000, -1.300000000, -1.450000000, -0.880000000, -1.000000000, -1.450000000, -1.300000000, 6.864583333
-1.440000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -1.000000000, -28.440000000, -1.840000000, -1.300000000, -1.280000000, -2.240000000, -2.170000000, -2.240000000, 11.375000000
-1.280000000, -1.300000000, -1.840000000, -1.840000000, -1.840000000, -2.170000000, -27.310000000, -1.840000000, -1.840000000, -1.840000000, -2.170000000, -1.440000000, -1.300000000, 8.958333333
-1.300000000, -0.880000000, -1.000000000, -0.580000000, -0.880000000, -1.300000000, -22.630000000, -2.240000000, -1.280000000, -0.580000000, -1.440000000, -1.450000000, -1.440000000, 59.260416667
-1.840000000, -1.450000000, -1.440000000, -2.170000000, -1.440000000, -1.450000000, -24.800000000, -2.170000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -1.000000000, 26.895833333
-1.280000000, -1.000000000, -1.450000000, -1.440000000, -0.580000000, -1.280000000, -26.830000000, -1.300000000, -1.280000000, -0.580000000, -1.280000000, -1.300000000, -1.280000000, 18.473958333
-2.240000000, -1.450000000, -0.880000000, -0.580000000, -1.280000000, -1.840000000, -26.830000000, -1.450000000, -1.280000000, -1.440000000, -0.580000000, -0.880000000, -0.580000000, 16.046875000
-2.240000000, -1.450000000, -1.440000000, -1.280000000, -1.000000000, -0.580000000, -26.240000000, -1.440000000, -1.280000000, -1.450000000, -1.840000000, -2.240000000, -1.840000000, 24.781250000
-1.000000000, -1.300000000, -2.170000000, -1.840000000, -1.440000000, -0.580000000, -23.000000000, -1.280000000, -1.840000000, -1.300000000, -1.280000000, -1.840000000, -1.840000000, 81.302083333
-1.840000000, -1.300000000, -0.880000000, -0.580000000, -0.880000000, -1.000000000, -16.960000000, -0.880000000, -0.580000000, -1.280000000, -1.440000000, -1.000000000, -1.000000000, 1239.911458333
-1.450000000, -1.440000000, -0.580000000, -1.280000000, -1.840000000, -1.840000000, -30.230000000, -1.000000000, -1.300000000, -1.280000000, -1.300000000, -1.280000000, -1.000000000, 4.395833333
-1.300000000, -1.450000000, -0.880000000, -1.000000000, -1.450000000, -1.440000000, -23.680000000, -0.580000000, -1.280000000, -1.440000000, -1.000000000, -1.450000000, -2.240000000, 46.458333333
-1.000000000, -0.580000000, -0.880000000, -0.580000000, -1.280000000, -1.440000000, -27.550000000, -0.580000000, -1.000000000, -1.440000000, -1.840000000, -1.840000000, -1.450000000, 24.921875000
-1.450000000, -1.300000000, -1.440000000, -2.170000000, -1.840000000, -1.840000000, -31.330000000, -1.280000000, -1.000000000, -1.300000000, -1.450000000, -0.880000000, -1.450000000, 2.625000000
-1.000000000, -1.450000000, -1.440000000, -1.000000000, -1.300000000, -1.280000000, -26.970000000, -1.000000000, -1.280000000, -2.240000000, -1.280000000, -0.580000000, -0.880000000, 22.390625000
-1.450000000, -1.000000000, -1.000000000, -1.000000000, -1.280000000, -2.240000000, -28.780000000, -1.440000000, -1.450000000, -1.000000000, -1.280000000, -1.440000000, -1.000000000, 9.437500000
-1.840000000, -2.240000000, -1.840000000, -1.450000000, -1.280000000, -1.840000000, -29.250000000, -1.450000000, -1.280000000, -2.240000000, -2.170000000, -2.240000000, -2.170000000, 3.093750000
-1.300000000, -1.280000000, -0.580000000, -1.280000000, -1.300000000, -1.280000000, -24.610000000, -2.240000000, -1.840000000, -1.840000000, -1.280000000, -1.000000000, -1.000000000, 37.739583333
-1.440000000, -1.450000000, -1.440000000, -1.840000000, -1.280000000, -1.450000000, -27.950000000, -1.840000000, -1.300000000, -1.440000000, -2.170000000, -2.240000000, -1.840000000, 7.625000000
-1.450000000, -1.440000000, -1.300000000, -1.280000000, -0.580000000, -1.440000000, -30.130000000, -1.000000000, -1.440000000, -1.280000000, -1.300000000, -1.840000000, -1.840000000, 4.416666667
-2.240000000, -1.280000000, -1.300000000, -1.450000000, -1.000000000, -1.000000000, -26.090000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, -1.300000000, -1.440000000, 17.447916667
-1.280000000, -2.240000000, -1.840000000, -1.280000000, -1.000000000, -1.000000000, -21.160000000, -1.280000000, -1.000000000, -0.580000000, -1.000000000, -1.280000000, -1.840000000, 179.057291667
-1.280000000, -1.300000000, -2.170000000, -1.300000000, -1.440000000, -2.170000000, -29.400000000, -1.300000000, -1.440000000, -1.450000000, -1.280000000, -2.240000000, -2.170000000, 3.864583333
-1.000000000, -1.280000000, -1.840000000, -2.240000000, -1.840000000, -2.170000000, -28.480000000, -2.240000000, -1.450000000, -1.000000000, -1.280000000, -1.440000000, -0.580000000, 5.020833333
-1.440000000, -1.450000000, -2.240000000, -1.840000000, -1.280000000, -1.450000000, -29.010000000, -1.450000000, -0.880000000, -0.580000000, -1.000000000, -0.880000000, -1.300000000, 7.348958333
-1.450000000, -1.440000000, -1.450000000, -1.440000000, -1.840000000, -2.170000000, -35.260000000, -1.840000000, -1.840000000, -1.840000000, -1.840000000, -1.300000000, -1.000000000, 0.713541667
-1.000000000, -0.580000000, -0.880000000, -0.580000000, -1.000000000, -1.000000000, -20.740000000, -0.580000000, -1.280000000, -1.440000000, -1.000000000, -1.000000000, -1.300000000, 257.359375000
-1.000000000, -0.580000000, -1.000000000, -1.280000000, -1.840000000, -1.840000000, -32.420000000, -1.450000000, -1.300000000, -1.440000000, -2.170000000, -1.840000000, -1.840000000, 1.036458333
-1.450000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -2.170000000, -29.580000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -1.280000000, 3.734375000
-0.880000000, -0.580000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -19.690000000, -1.840000000, -1.440000000, -1.450000000, -2.240000000, -1.280000000, -1.450000000, 339.348958333
-1.280000000, -1.840000000, -1.840000000, -1.840000000, -2.240000000, -2.170000000, -32.720000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -0.880000000, 0.755208333
-1.440000000, -2.170000000, -1.440000000, -1.450000000, -1.300000000, -1.280000000, -25.700000000, -1.280000000, -1.300000000, -0.880000000, -1.300000000, -1.450000000, -1.000000000, 30.291666667
-1.000000000, -1.280000000, -2.240000000, -1.280000000, -0.580000000, -0.880000000, -24.430000000, -1.280000000, -1.300000000, -1.280000000, -1.440000000, -0.580000000, -1.440000000, 65.921875000
-1.450000000, -1.300000000, -1.000000000, -0.880000000, -0.580000000, -0.880000000, -20.890000000, -1.000000000, -1.000000000, -1.280000000, -1.300000000, -1.280000000, -2.240000000, 269.635416667
-1.000000000, -1.000000000, -0.580000000, -0.880000000, -1.450000000, -2.240000000, -25.100000000, -0.880000000, -0.580000000, -1.000000000, -1.280000000, -2.240000000, -1.450000000, 39.083333333
-2.240000000, -2.170000000, -1.840000000, -2.240000000, -2.170000000, -1.840000000, -27.170000000, -1.440000000, -0.580000000, -1.280000000, -1.840000000, -1.840000000, -1.840000000, 8.562500000
-1.300000000, -1.280000000, -1.000000000, -1.300000000, -1.280000000, -1.000000000, -25.800000000, -2.240000000, -1.840000000, -1.280000000, -1.000000000, -1.000000000, -0.580000000, 28.130208333
-1.300000000, -0.880000000, -1.450000000, -1.300000000, -1.440000000, -1.280000000, -29.390000000, -1.300000000, -1.000000000, -1.440000000, -1.280000000, -1.450000000, -1.440000000, 3.218750000
-0.880000000, -1.450000000, -1.300000000, -1.440000000, -1.450000000, -1.000000000, -23.310000000, -1.280000000, -1.300000000, -1.280000000, -1.440000000, -1.000000000, -0.580000000, 59.557291667
-1.840000000, -1.840000000, -1.840000000, -2.170000000, -2.240000000, -2.170000000, -26.580000000, -1.840000000, -2.170000000, -1.440000000, -1.300000000, -1.280000000, -1.300000000, 9.197916667
-0.580000000, -1.280000000, -1.840000000, -1.300000000, -1.440000000, -1.450000000, -26.810000000, -0.580000000, -0.880000000, -0.580000000, -0.880000000, -1.300000000, -2.170000000, 22.114583333
-1.450000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -21.800000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, -1.450000000, -1.300000000, 119.708333333
-1.280000000, -1.450000000, -1.300000000, -1.280000000, -2.240000000, -2.170000000, -24.910000000, -0.880000000, -1.000000000, -1.000000000, -1.450000000, -1.300000000, -1.440000000, 39.635416667
-1.450000000, -1.000000000, -1.440000000, -1.280000000, -1.450000000, -1.440000000, -28.300000000, -1.000000000, -1.000000000, -1.280000000, -2.240000000, -1.840000000, -2.170000000, 5.151041667
-0.580000000, -1.440000000, -1.280000000, -1.300000000, -1.840000000, -1.840000000, -31.050000000, -1.840000000, -2.170000000, -2.240000000, -1.280000000, -1.450000000, -2.240000000, 2.671875000
-1.440000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.450000000, -20.650000000, -0.580000000, -1.280000000, -1.300000000, -1.280000000, -1.440000000, -1.450000000, 248.869791667
